figure_fold,polarization,angle,degree_ns,num_plates,figure_name
Figure1A/1/,co-ppl,90,2.0,1,Figure1A_150x150_mkm
figure1B/2/,cross-pol,90,2.0,1,Figure1A_150x150_mkm
figure1B/1/,co-ppl,90,2.0,1,Figure1B_150x45_mkm
figure1A/2/,cross-pol,90,2.0,1,Figure1B_150x45_mkm
figure2/1/,cross-pol,90,2.0,1,Figure2_600x600_nm
figure2/2/,cross-pol,20,2.0,1,Figure2_600x600_nm
figure2/3/,cross-pol,30,2.0,1,Figure2_600x600_nm
figure2/4/,cross-pol,40,2.0,1,Figure2_600x600_nm
figure2/5/,co-pol,90,2.0,1,Figure2_600x600_nm
figure3/1/,cross-pol,90,2.0,1,figure3_750_280_t150_h120_nm
figure3/2/,cross-pol,90,2.0,2,figure3_750_280_t150_h120_nm
figure3/4/,cross-pol,90,2.0,2,figure3_600_224_t150_h100_nm
figure3/5/,cross-pol,90,2.0,2,figure3_600_224_t150_h140_nm
figure3/6/,cross-pol,90,2.0,2,figure3_600_224_t150_h180_nmply
figure3/7/,cross-pol,90,2.0,2,figure3_600_224_t150_h220_nm
figure3/8/,cross-pol,90,2.0,2,figure3_750_280_t150_h120_nm
figure3/9/,cross-pol,90,1.73,2,figure3_750_280_t150_h120_nm
figure3/10/,cross-pol,90,1.5,2,figure3_750_280_t150_h120_nm
figure3/11/,cross-pol,90,1.3,2,figure3_750_280_t150_h120_nm
figure3/12/,cross-pol,90,1.5,2,figure3_75_30_t15_h9_mkm
figure4/1/,cross-pol,90,2.0,1,Figure4_450x450_nm
figure4/2/,co-pol,90,2.0,1,Figure4_450x450_nm
figure5/1/,co-pol,90,2.0,2,Figure5
figure5/2/,cross-pol,90,2.0,2,Figure5
